Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Description,Amount,Currency,Account2
09/11/2023 16:47:11,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
09/11/2023 19:54:37,Cash,🍜 Food,Dinner,,6,Expense,,6,MYR,6
09/12/2023 12:11:40,Public Bank,🚖 Transport,Grabcar,,12,Expense,,12,MYR,12
09/12/2023 12:23:24,Cash,🍜 Food,Lunch,,27.8,Expense,,27.8,MYR,27.8
09/12/2023 13:23:27,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
09/12/2023 13:36:37,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
09/12/2023 14:40:28,Cash,🧘🏼 Health,Medicine,,28,Expense,,28,MYR,28
10/03/2024 12:02:52,Cash,🚖 Transport,Parking Ticket,,3,Expense,,3,MYR,3
10/03/2024 15:50:57,Cash,🍜 Food,Eating out,,10,Expense,,10,MYR,10
10/03/2024 15:50:57,Public Bank,🎮 Game,Arknight,,21.99,Expense,,21.99,MYR,21.99
10/10/2023 00:04:29,Public Bank,Phone,Yoodo,,15,Expense,,15,MYR,15
10/11/2023 17:12:19,Cash,🍜 Food,Eating out,,6,Expense,,6,MYR,6
11/01/2024 19:06:17,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
11/01/2024 19:06:25,Cash,🍜 Food,Groceries,,11.2,Expense,,11.2,MYR,11.2
11/01/2024 19:06:31,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
11/02/2024 07:51:46,Cash,🍜 Food,Breakfast,,14.15,Expense,,14.15,MYR,14.15
11/02/2024 18:09:54,Cash,🤑 Allowance,,,28,Income,,28,MYR,28
11/02/2024 18:14:54,Cash,Other,Other,,4.45,Expense,,4.45,MYR,4.45
11/02/2024 18:25:45,Cash,🍜 Food,Dinner,,38.5,Expense,,38.5,MYR,38.5
11/02/2024 18:25:52,Bank Islam,Cash,,,100,Transfer-Out,,100,MYR,100
11/02/2024 18:25:52,Bank Islam,Other,,Fees,1,Expense,,1,MYR,1
11/02/2024 18:56:34,Cash,🍜 Food,Dinner,,24.5,Expense,,24.5,MYR,24.5
11/03/2024 13:22:14,Cash,🍜 Food,Eating out,,6.1,Expense,,6.1,MYR,6.1
11/10/2023 14:07:57,Public Bank,🎮 Game,Honkai Star Rail,,19.9,Expense,,19.9,MYR,19.9
11/10/2023 18:32:38,Cash,🍜 Food,Dinner,,3.6,Expense,,3.6,MYR,3.6
11/10/2023 18:32:43,Cash,🧘🏼 Health,Gym,,8,Expense,,8,MYR,8
11/10/2023 18:54:55,Cash,🍜 Food,Dinner,,9.5,Expense,,9.5,MYR,9.5
11/11/2023 17:47:22,Cash,Other,Other,,6,Expense,,6,MYR,6
11/11/2023 17:56:46,Cash,🧘🏼 Health,Toiletries,,5,Expense,,5,MYR,5
11/12/2023 17:36:55,Cash,🍜 Food,Beverages,,8,Expense,,8,MYR,8
11/12/2023 17:37:14,Cash,🍜 Food,Dinner,,7,Expense,,7,MYR,7
12/01/2024 16:59:45,Cash,Other,Other,Rambut,20,Expense,,20,MYR,20
12/01/2024 17:07:35,Cash,🍜 Food,Eating out,,3,Expense,,3,MYR,3
12/03/2024 18:15:47,Cash,🍜 Food,Dinner,,9,Expense,,9,MYR,9
12/03/2024 18:23:53,Cash,🍜 Food,Beverages,,3,Expense,,3,MYR,3
12/03/2024 18:38:02,Cash,🍜 Food,Groceries,,10.5,Expense,,10.5,MYR,10.5
12/03/2024 18:38:08,Cash,🍜 Food,Groceries,,12.8,Expense,,12.8,MYR,12.8
12/03/2024 23:03:17,Public Bank,🎮 Game,Steam,,26.13,Expense,,26.13,MYR,26.13
12/11/2023 17:51:43,Cash,🍜 Food,Beverages,,2.25,Expense,,2.25,MYR,2.25
12/11/2023 18:54:21,Cash,🍜 Food,Dinner,,9.6,Expense,,9.6,MYR,9.6
13/01/2024 18:54:31,Cash,🍜 Food,Dinner,,11,Expense,,11,MYR,11
13/01/2024 18:59:48,Cash,🍜 Food,Beverages,,6,Expense,,6,MYR,6
13/01/2024 19:23:53,Public Bank,Cash,,,150,Transfer-Out,,150,MYR,150
13/01/2024 19:23:53,Public Bank,Other,,Fees,1,Expense,,1,MYR,1
13/01/2024 19:23:53,Cash,🍜 Food,Dinner,,10,Expense,,10,MYR,10
13/01/2024 19:23:53,Cash,🍜 Food,Dinner,,4,Expense,,4,MYR,4
13/03/2024 13:02:00,Cash,🤑 Allowance,,,50,Income,,50,MYR,50
13/03/2024 17:22:55,Cash,🍜 Food,Ramadan,,8,Expense,,8,MYR,8
13/03/2024 17:26:19,Cash,🍜 Food,Ramadan,,4,Expense,,4,MYR,4
13/11/2023 12:06:35,Public Bank,🎮 Game,Arknight,,21.99,Expense,,21.99,MYR,21.99
13/12/2023 09:14:53,Cash,Other,Other,Aktif Bank,10,Expense,,10,MYR,10
13/12/2023 09:15:02,Cash,🚖 Transport,Bus,,2,Expense,,2,MYR,2
13/12/2023 10:18:18,Cash,🤑 Allowance,,,100,Income,,100,MYR,100
13/12/2023 12:26:29,Bank Rakyat,Modified Bal.,,Difference,69.12,Income,,69.12,MYR,69.12
13/12/2023 12:26:58,Bank Rakyat,🤑 Allowance,,,137.83,Income,,137.83,MYR,137.83
13/12/2023 12:42:48,Cash,Other,Other,Gambar Konvo,5,Expense,,5,MYR,5
13/12/2023 13:15:07,Cash,🍜 Food,Lunch,,4,Expense,,4,MYR,4
13/12/2023 13:26:20,Cash,🍜 Food,Beverages,,4,Expense,,4,MYR,4
13/12/2023 13:26:25,Cash,🍜 Food,Lunch,,12,Expense,,12,MYR,12
13/12/2023 13:48:23,Cash,🚖 Transport,Grabcar,,5,Expense,,5,MYR,5
13/12/2023 14:19:14,Bank Rakyat,Cash,,,40,Transfer-Out,,40,MYR,40
13/12/2023 14:19:28,Cash,🚖 Transport,Bus,,4,Expense,,4,MYR,4
14/02/2024 11:16:23,Cash,🚖 Transport,Bus,,3,Expense,,3,MYR,3
14/02/2024 11:16:38,Cash,🤑 Allowance,,,10,Income,,10,MYR,10
14/02/2024 11:26:30,Cash,🍜 Food,Beverages,,1.2,Expense,,1.2,MYR,1.2
14/02/2024 13:11:37,Cash,🍜 Food,Lunch,,11,Expense,,11,MYR,11
