Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Note2,Amount,Currency,Account3
07/02/2023 18:10:14,Dompet,Food & Drink,Drink,,2,Expense,,2,MYR,2
07/06/2023 09:02:12,Public Bank,Game,Genshin,,19.9,Expense,,19.9,MYR,19.9
07/07/2023 12:27:50,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
07/07/2023 12:27:56,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
07/09/2022 09:36:55,Dompet,Allowance,,,100,Income,,100,MYR,100
07/12/2022 12:15:20,Dompet,Food & Drink,Lunch,,8,Expense,,8,MYR,8
07/12/2022 17:57:37,Dompet,Food & Drink,Dinner,,9.5,Expense,,9.5,MYR,9.5
07/12/2022 17:57:43,Dompet,Food & Drink,Dinner,,1.8,Expense,,1.8,MYR,1.8
08/01/2023 11:43:01,Dompet,Food & Drink,Lunch,,8,Expense,,8,MYR,8
08/01/2023 18:16:28,Dompet,Food & Drink,Dinner,,6.5,Expense,,6.5,MYR,6.5
08/02/2023 10:45:28,Dompet,Other,,,3,Expense,,3,MYR,3
08/02/2023 11:34:44,Dompet,Food & Drink,Lunch,,5,Expense,,5,MYR,5
08/02/2023 11:34:49,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
08/02/2023 17:06:15,Public Bank,Dompet,,,100,Transfer-Out,,100,MYR,100
08/02/2023 17:06:42,Bank Islam,Dompet,,,100,Transfer-Out,,100,MYR,100
08/02/2023 17:11:24,Dompet,Food & Drink,Barang Dapur,,29.4,Expense,,29.4,MYR,29.4
08/02/2023 18:01:42,Dompet,Food & Drink,Dinner,,5,Expense,,5,MYR,5
08/02/2023 18:01:50,Dompet,Food & Drink,Drink,,1,Expense,,1,MYR,1
08/04/2023 10:41:21,Dompet,Health,Toiletries,,34.2,Expense,,34.2,MYR,34.2
08/04/2023 19:31:47,Dompet,Food & Drink,Dinner,,6,Expense,,6,MYR,6
08/05/2023 13:12:09,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
08/05/2023 18:28:14,Dompet,Transportation,Bus,,3,Expense,,3,MYR,3
08/06/2023 07:59:53,Public Bank,Game,Star Rail,,19.9,Expense,,19.9,MYR,19.9
08/06/2023 10:25:53,Public Bank,Game,Azurlane,,29.9,Expense,,29.9,MYR,29.9
08/06/2023 14:06:02,Dompet,Food & Drink,Lunch,,2,Expense,,2,MYR,2
08/06/2023 14:06:08,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
